year		month		H(h)_m		H(i_opt)_m		T2m
2005		Jan		141.38		146.32		13.5
2005		Feb		128.32		130.81		13.6
2005		Mar		154.23		154.88		13.8
2005		Apr		116.8		115.68		13.7
2005		May		141.21		137.93		13.0
2005		Jun		136.45		132.75		13.1
2005		Jul		156.61		151.87		13.1
2005		Aug		141.85		139.77		13.5
2005		Sep		133.12		132.74		13.8
2005		Oct		137.91		139.57		12.4
2005		Nov		125.03		128.63		12.4
2005		Dec		144.07		150.57		12.3
2006		Jan		147.13		152.94		12.7
2006		Feb		144.95		148.28		13.3
2006		Mar		128.71		129.15		12.6
2006		Apr		110.89		109.89		12.5
2006		May		138.93		135.53		12.6
2006		Jun		137.62		133.44		12.6
2006		Jul		142.09		138.26		12.8
2006		Aug		154.02		151.39		13.7
2006		Sep		147.03		146.59		13.8
2006		Oct		120.24		121.66		13.1
2006		Nov		124.12		127.41		12.3
2006		Dec		143.66		149.72		12.8
2007		Jan		164.23		171.11		13.3
2007		Feb		175.41		180.56		12.8
2007		Mar		128.45		129.01		13.1
2007		Apr		132.89		131.36		13.1
2007		May		135.09		131.99		13.1
2007		Jun		132.47		128.39		12.6
2007		Jul		154.6		149.74		12.9
2007		Aug		131.51		129.58		12.8
2007		Sep		139.95		139.7		13.3
2007		Oct		128.19		129.64		12.4
2007		Nov		136.88		141.3		12.5
2007		Dec		140.02		145.38		12.2
2008		Jan		141.49		146.97		12.2
2008		Feb		132.16		135.11		12.4
2008		Mar		142.07		142.5		12.3
2008		Apr		125.74		124.34		12.5
2008		May		123.15		120.58		12.3
2008		Jun		137.87		133.38		12.4
2008		Jul		142.67		138.93		12.2
2008		Aug		131.57		129.53		12.7
2008		Sep		140.89		140.63		13.1
2008		Oct		135.0		136.91		12.8
2008		Nov		108.57		111.01		12.4
2008		Dec		145.57		151.76		12.4
2009		Jan		121.22		125.18		12.5
2009		Feb		126.67		129.29		12.8
2009		Mar		118.49		118.96		12.7
2009		Apr		124.73		123.4		13.0
2009		May		133.07		129.87		12.9
2009		Jun		138.63		134.24		12.8
2009		Jul		135.61		131.77		13.1
2009		Aug		140.34		137.91		13.6
2009		Sep		144.54		144.26		14.0
2009		Oct		136.99		138.77		13.1
2009		Nov		129.53		133.6		13.2
2009		Dec		170.13		178.97		13.3
2010		Jan		176.05		184.29		13.4
2010		Feb		147.21		150.89		14.5
2010		Mar		143.2		143.65		14.4
2010		Apr		116.39		115.15		13.3
2010		May		125.46		122.91		13.3
2010		Jun		136.0		131.82		12.8
2010		Jul		131.69		128.54		12.3
2010		Aug		134.36		132.2		12.7
2010		Sep		121.57		121.29		12.5
2010		Oct		132.56		134.01		12.3
2010		Nov		112.7		115.04		11.9
2010		Dec		135.06		139.84		11.7
2011		Jan		170.53		177.85		12.2
2011		Feb		118.09		120.2		12.1
2011		Mar		115.24		115.38		12.1
2011		Apr		120.48		119.26		12.1
2011		May		127.61		124.81		12.7
2011		Jun		135.03		131.18		12.6
2011		Jul		145.78		141.56		12.6
2011		Aug		153.1		150.28		12.9
2011		Sep		141.95		141.61		12.9
2011		Oct		119.41		120.52		11.8
2011		Nov		103.38		105.27		11.9
2011		Dec		129.26		134.74		12.3
2012		Jan		146.65		152.09		12.2
2012		Feb		144.82		148.12		12.2
2012		Mar		132.14		132.71		12.4
2012		Apr		115.45		114.33		12.3
2012		May		142.84		139.69		12.7
2012		Jun		151.36		146.43		13.0
2012		Jul		146.0		142.08		13.1
2012		Aug		133.67		131.59		13.2
2012		Sep		77.72		77.28		13.5
2012		Oct		154.7		157.03		12.5
2012		Nov		136.89		140.81		12.7
2012		Dec		152.93		159.62		12.5
2013		Jan		164.78		171.93		13.1
2013		Feb		105.74		107.44		12.9
2013		Mar		128.9		129.16		13.5
2013		Apr		134.77		133.3		13.3
2013		May		138.94		136.11		12.7
2013		Jun		159.38		154.06		13.1
2013		Jul		152.38		147.81		12.7
2013		Aug		157.93		155.13		12.8
2013		Sep		148.85		148.51		13.3
2013		Oct		140.62		142.43		12.7
2013		Nov		113.79		116.32		12.3
2013		Dec		127.41		132.55		12.4
2014		Jan		152.34		158.69		12.7
2014		Feb		136.16		139.27		13.0
2014		Mar		149.39		149.74		13.0
2014		Apr		119.31		118.24		13.2
2014		May		142.19		138.97		12.9
2014		Jun		133.19		129.39		13.0
2014		Jul		148.95		144.46		13.2
2014		Aug		144.65		142.37		13.4
2014		Sep		142.93		142.74		13.4
2014		Oct		126.49		127.87		12.7
2014		Nov		121.06		124.06		12.5
2014		Dec		137.68		143.6		12.5
2015		Jan		165.39		171.6		12.5
2015		Feb		140.38		142.78		12.9
2015		Mar		130.82		131.19		12.9
2015		Apr		136.5		135.36		12.9
2015		May		145.36		142.83		13.5
2015		Jun		138.91		135.48		13.2
2015		Jul		161.23		157.13		13.5
2015		Aug		153.76		151.42		13.9
2015		Sep		159.74		159.42		14.2
2015		Oct		151.48		153.24		13.6
2015		Nov		133.23		136.59		13.1
2015		Dec		153.41		159.14		13.0

H(h)_m: Irradiation on horizontal plane (kWh/m2/mo)
H(i_opt)_m: Irradiation on optimally inclined plane (kWh/m2/mo)
T2m: 24 hour average of temperature (degree Celsius)

PVGIS (c) European Union, 2001-2022
