objectid;id_medidor;fecha;energia_kw;potencia_k;hora
85039;4;1/10/2019;204455.00;43.32;0:00
85047;4;1/10/2019;204457.00;43.62;0:15
85055;4;1/10/2019;204459.00;43.80;0:30
85064;4;1/10/2019;204461.00;43.66;0:45
85072;4;1/10/2019;204463.00;44.02;1:00
85080;4;1/10/2019;204466.00;43.92;1:15
85089;4;1/10/2019;204468.00;43.78;1:30
85097;4;1/10/2019;204470.00;44.02;1:45
85105;4;1/10/2019;204472.00;44.38;2:00
85113;4;1/10/2019;204474.00;44.32;2:15
85121;4;1/10/2019;204477.00;44.20;2:30
85130;4;1/10/2019;204479.00;44.12;2:45
85147;4;1/10/2019;204481.00;44.14;3:00
85156;4;1/10/2019;204483.00;43.78;3:15
85164;4;1/10/2019;204486.00;43.92;3:30
85172;4;1/10/2019;204488.00;44.02;3:45
85180;4;1/10/2019;204490.00;44.38;4:00
85189;4;1/10/2019;204492.00;43.96;4:15
85197;4;1/10/2019;204494.00;43.60;4:30
85205;4;1/10/2019;204497.00;43.52;4:45
85214;4;1/10/2019;204499.00;43.88;5:00
85222;4;1/10/2019;204501.00;43.24;5:15
85230;4;1/10/2019;204503.00;43.74;5:30
85238;4;1/10/2019;204505.00;47.98;5:45
85247;4;1/10/2019;204508.00;62.84;6:00
85256;4;1/10/2019;204512.00;65.72;6:15
85273;4;1/10/2019;204515.00;69.06;6:30
85282;4;1/10/2019;204519.00;68.52;6:45
85290;4;1/10/2019;204522.00;94.86;7:00
85298;4;1/10/2019;204526.00;81.94;7:15
85306;4;1/10/2019;204530.00;75.64;7:30
85315;4;1/10/2019;204534.00;102.42;7:45
85322;4;1/10/2019;204539.00;90.16;8:00
85330;4;1/10/2019;204543.00;88.52;8:15
85339;4;1/10/2019;204547.00;77.66;8:30
85347;4;1/10/2019;204552.00;84.26;8:45
85349;4;1/10/2019;204556.00;79.58;9:00
85356;4;1/10/2019;204560.00;85.16;9:15
85365;4;1/10/2019;204565.00;90.38;9:30
85373;4;1/10/2019;204569.00;89.04;9:45
85389;4;1/10/2019;204574.00;92.16;10:00
85398;4;1/10/2019;204579.00;92.58;10:15
85406;4;1/10/2019;204584.00;99.96;10:30
85413;4;1/10/2019;204589.00;110.08;10:45
85421;4;1/10/2019;204595.00;106.22;11:00
85429;4;1/10/2019;204601.00;114.12;11:15
85438;4;1/10/2019;204606.00;114.16;11:30
85446;4;1/10/2019;204612.00;104.10;11:45
85454;4;1/10/2019;204618.00;129.04;12:00
85463;4;1/10/2019;204624.00;126.14;12:15
85471;4;1/10/2019;204630.00;115.68;12:30
