;Lunes;Martes;Miércoles;Jueves;Viernes;Sábado;Domingo;Lunes;Martes;Miércoles;Jueves;Viernes;Sábado;Domingo;Lunes;Martes;Miércoles;Jueves;Viernes;Sábado;Domingo
hora ;20/06/2022;21/06/2022;22/06/2022;23/06/2022;24/06/2022;25/06/2022;26/06/2022;27/06/2022;28/06/2022;29/06/2022;30/06/2022;1/07/2022;2/07/2022;3/07/2022;4/07/2022;5/07/2022;6/07/2022;7/07/2022;8/07/2022;9/07/2022;10/07/2022
0:00;47.97;47.16;34.95;42.72;43.32;37.11;40.71;36.27;37.56;41.19;42.30;66.96;29.49;31.44;27.00;26.22;38.01;37.53;37.44;34.20;36.81
0:15;47.79;46.83;40.59;33.78;46.68;38.88;33.51;33.99;42.96;32.97;50.52;37.86;32.85;36.60;31.59;29.04;44.07;37.80;32.10;35.07;37.50
0:30;43.05;46.59;55.26;43.32;44.73;34.23;39.03;38.37;39.69;38.64;40.71;36.69;34.89;35.79;30.18;29.64;43.02;32.46;37.17;39.96;30.24
0:45;47.85;49.83;58.80;34.02;42.63;37.71;32.19;35.04;43.71;50.61;37.74;52.92;31.65;27.63;32.07;31.68;45.39;43.59;41.76;38.10;35.91
1:00;41.22;44.46;63.45;42.42;39.60;43.11;42.42;37.14;31.59;46.56;48.93;38.04;32.97;32.01;27.03;26.31;47.79;37.20;35.49;40.68;35.31
1:15;45.09;43.56;62.88;37.32;43.80;35.97;39.96;40.17;41.88;43.47;51.75;38.97;33.42;24.24;30.27;30.21;49.77;33.00;33.84;40.62;35.19
1:30;45.90;45.33;70.11;40.83;48.54;45.51;36.84;33.03;78.39;47.19;40.26;62.79;32.73;26.40;32.58;26.37;42.96;30.33;33.75;43.26;36.69
1:45;44.07;44.97;98.19;42.21;48.81;35.28;40.38;35.40;40.05;47.10;42.30;38.73;33.99;29.61;34.53;28.56;42.81;38.46;39.27;35.97;36.63
2:00;41.10;47.67;74.46;44.25;49.53;35.40;28.80;36.90;35.07;47.10;36.30;41.79;29.22;30.75;30.87;28.05;41.25;35.10;36.03;38.73;36.60
2:15;50.01;45.39;74.79;43.14;48.96;33.87;37.23;38.76;33.87;46.95;44.07;32.82;32.40;30.12;32.04;29.73;43.08;31.26;37.20;38.46;36.66
2:30;46.80;47.46;70.17;41.70;44.64;37.38;36.42;35.43;32.46;49.44;47.40;43.47;32.13;23.58;32.13;28.26;47.46;35.91;33.39;32.49;32.82
2:45;46.26;47.34;66.03;35.94;46.86;39.30;32.31;45.69;39.51;45.33;46.14;44.25;34.08;23.52;29.19;27.12;47.43;44.07;44.04;44.10;30.54
3:00;50.16;50.70;72.60;37.38;51.39;39.27;32.28;33.60;35.52;45.15;45.48;45.30;31.11;25.68;34.47;32.67;44.91;33.57;45.72;36.93;30.93
3:15;45.03;40.53;89.34;40.95;46.56;39.39;35.52;33.24;32.61;44.94;51.51;37.92;33.72;28.86;32.16;33.18;40.77;36.54;43.65;39.15;34.38
3:30;50.97;45.00;70.05;33.81;50.04;33.15;30.39;39.90;31.26;46.35;36.03;40.86;34.56;26.82;32.76;29.10;43.62;32.61;35.85;40.17;42.18
3:45;47.04;52.02;70.89;40.92;47.07;39.12;31.83;35.58;35.07;59.49;35.97;40.95;29.28;26.70;36.03;29.91;66.12;40.71;36.84;36.06;32.34
4:00;48.12;43.86;86.55;34.59;46.17;46.86;31.80;38.01;45.60;52.68;48.48;49.32;42.27;26.67;37.53;39.96;51.99;42.51;42.09;34.50;36.72
4:15;52.38;48.87;112.29;33.60;47.04;38.13;37.11;36.39;39.42;60.96;47.85;38.34;29.28;27.15;37.56;34.32;52.44;36.48;46.95;35.04;33.78
4:30;51.48;48.21;86.22;41.49;42.03;43.95;34.92;45.96;38.31;60.12;38.19;37.65;29.67;26.88;29.67;37.71;52.80;32.67;47.67;34.50;31.47
4:45;53.13;47.34;86.82;39.60;47.34;35.28;33.06;33.57;39.99;60.60;35.61;45.72;33.78;30.30;34.26;30.09;52.47;40.47;47.64;32.97;27.18
5:00;45.84;56.52;84.90;50.55;54.36;42.03;34.68;42.54;48.27;57.21;51.42;54.69;38.28;32.34;30.03;43.50;54.93;38.55;40.86;39.30;28.53
5:15;49.77;62.31;87.36;60.87;66.81;37.17;39.90;38.73;50.31;60.90;53.91;73.23;44.76;31.08;33.60;47.04;58.11;53.58;45.39;44.13;32.88
5:30;49.38;51.78;84.63;56.13;50.97;41.49;29.91;37.62;35.67;63.51;41.34;40.23;39.78;31.08;34.11;39.99;51.57;48.87;62.34;48.81;28.44
5:45;47.64;57.72;85.11;43.77;62.28;32.82;37.56;34.80;43.23;63.60;60.06;61.83;28.44;31.32;36.66;42.57;57.27;57.84;56.19;44.67;27.15
6:00;44.22;60.60;78.66;38.85;47.94;39.60;32.01;40.26;43.89;75.33;53.85;40.41;25.56;29.04;31.26;42.39;55.47;32.13;42.06;41.16;32.22
6:15;44.70;56.82;94.56;39.48;58.23;56.85;34.20;40.14;49.32;79.32;49.02;48.93;27.69;29.04;25.11;34.65;51.15;42.84;49.56;56.79;35.70
6:30;48.99;49.77;78.96;58.44;52.89;53.46;37.41;34.86;43.59;66.09;51.60;72.96;31.62;27.18;33.27;38.79;48.21;47.76;39.45;35.40;31.50
6:45;39.09;48.24;84.21;55.50;40.86;49.35;32.58;31.95;42.45;71.43;62.82;55.74;37.92;27.15;30.06;34.26;48.72;42.06;42.63;37.29;32.07
7:00;40.11;53.25;82.35;56.07;57.00;31.26;34.80;32.25;44.34;68.28;54.90;51.72;37.95;28.32;30.75;36.12;47.73;37.17;52.14;44.97;36.12
7:15;41.94;65.31;86.16;62.46;54.39;35.49;32.22;33.51;41.40;70.77;48.93;55.20;38.01;28.44;27.00;35.61;49.14;40.80;56.79;43.74;29.19
7:30;38.58;63.24;79.80;65.40;60.51;33.03;34.92;36.18;75.69;70.02;81.99;58.11;37.47;27.99;26.49;38.64;47.82;45.24;49.56;44.97;32.61
