objectid;id_medidor;fecha;energia_kw;potencia_k
1198602;5;20/06/2022;48670.23;47.97000000
1195802;5;20/06/2022;48670.45;47.79000000
1197801;5;20/06/2022;48670.74;43.05000000
1195001;5;20/06/2022;48670.92;47.85000000
1198204;5;20/06/2022;48671.15;41.22000000
1199414;5;20/06/2022;48671.38;45.09000000
1199015;5;20/06/2022;48671.65;45.90000000
1197415;5;20/06/2022;48671.84;44.07000000
1199814;5;20/06/2022;48672.09;41.10000000
1194214;5;20/06/2022;48672.31;50.01000000
1195416;5;20/06/2022;48672.59;46.80000000
1196216;5;20/06/2022;48672.78;46.26000000
1194616;5;20/06/2022;48673.01;50.16000000
1197016;5;20/06/2022;48673.25;45.03000000
1193814;5;20/06/2022;48673.62;50.97000000
1196615;5;20/06/2022;48673.73;47.04000000
1195818;5;20/06/2022;48673.96;48.12000000
1198619;5;20/06/2022;48674.20;52.38000000
1198220;5;20/06/2022;48674.50;51.48000000
1195020;5;20/06/2022;48674.68;53.13000000
1197818;5;20/06/2022;48674.95;45.84000000
1199029;5;20/06/2022;48675.18;49.77000000
1199431;5;20/06/2022;48675.43;49.38000000
1196232;5;20/06/2022;48675.67;47.64000000
1197432;5;20/06/2022;48675.89;44.22000000
1194632;5;20/06/2022;48676.12;44.70000000
1194231;5;20/06/2022;48676.35;48.99000000
1199831;5;20/06/2022;48676.56;39.09000000
1195433;5;20/06/2022;48676.77;40.11000000
1193833;5;20/06/2022;48676.99;41.94000000
1197033;5;20/06/2022;48677.19;38.58000000
1195834;5;20/06/2022;48677.42;43.29000000
1196632;5;20/06/2022;48677.63;43.65000000
1198634;5;20/06/2022;48677.84;38.88000000
1198237;5;20/06/2022;48678.06;38.34000000
1197837;5;20/06/2022;48678.25;47.55000000
1195037;5;20/06/2022;48678.48;46.74000000
1199047;5;20/06/2022;48678.69;39.57000000
1199446;5;20/06/2022;48678.92;41.22000000
1196246;5;20/06/2022;48679.11;42.21000000
1194648;5;20/06/2022;48679.33;47.85000000
1197449;5;20/06/2022;48679.56;46.41000000
1197049;5;20/06/2022;48679.78;44.25000000
1194250;5;20/06/2022;48679.98;39.99000000
1195448;5;20/06/2022;48680.19;42.27000000
1196647;5;20/06/2022;48681.41;47.28000000
1193847;5;20/06/2022;48681.42;48.33000000
1195847;5;20/06/2022;48681.43;41.25000000
1199847;5;20/06/2022;48681.43;45.75000000
1198649;5;20/06/2022;48681.44;41.52000000
1197853;5;20/06/2022;48681.51;51.12000000
1198255;5;20/06/2022;48681.71;43.83000000
1195055;5;20/06/2022;48681.92;36.15000000
1199064;5;20/06/2022;48682.13;39.33000000
1199464;5;20/06/2022;48682.38;46.35000000
1194663;5;20/06/2022;48682.57;43.50000000
1193865;5;20/06/2022;48682.78;40.38000000
1195864;5;20/06/2022;48682.99;48.15000000
1196264;5;20/06/2022;48683.23;40.86000000
1197066;5;20/06/2022;48683.43;41.64000000
1197466;5;20/06/2022;48683.65;45.75000000
1195467;5;20/06/2022;48683.87;47.01000000
1199866;5;20/06/2022;48684.09;45.81000000
1196666;5;20/06/2022;48684.30;47.28000000
1194268;5;20/06/2022;48684.53;52.08000000
1198668;5;20/06/2022;48684.84;41.88000000
1197870;5;20/06/2022;48685.00;38.76000000
1198271;5;20/06/2022;48685.20;48.90000000
1195071;5;20/06/2022;48685.43;41.10000000
1199079;5;20/06/2022;48685.65;47.04000000
1199481;5;20/06/2022;48685.88;48.90000000
1193881;5;20/06/2022;48686.11;45.09000000
1194680;5;20/06/2022;48686.35;54.39000000
1196281;5;20/06/2022;48686.62;52.29000000
1195882;5;20/06/2022;48686.87;50.97000000
1196681;5;20/06/2022;48687.12;50.40000000
1195483;5;20/06/2022;48687.36;47.97000000
1199882;5;20/06/2022;48687.61;50.25000000
1197083;5;20/06/2022;48687.86;50.73000000
1197484;5;20/06/2022;48688.11;60.15000000
1198684;5;20/06/2022;48688.35;44.88000000
1194285;5;20/06/2022;48688.60;53.31000000
1197887;5;20/06/2022;48688.84;50.22000000
1198287;5;20/06/2022;48689.10;43.29000000
1195086;5;20/06/2022;48689.33;45.36000000
1199097;5;20/06/2022;48689.58;57.03000000
1196296;5;20/06/2022;48689.81;44.85000000
1194696;5;20/06/2022;48690.04;50.28000000
1199498;5;20/06/2022;48690.29;49.20000000
1195897;5;20/06/2022;48690.52;44.40000000
1193897;5;20/06/2022;48690.75;41.19000000
1196698;5;20/06/2022;48690.99;47.91000000
1197098;5;20/06/2022;48691.21;43.89000000
1195500;5;20/06/2022;48691.47;49.20000000
1199899;5;21/06/2022;48691.70;47.16000000
1198700;5;21/06/2022;48691.92;46.83000000
1197501;5;21/06/2022;48692.16;46.59000000
1194301;5;21/06/2022;48692.39;49.83000000
1197902;5;21/06/2022;48692.63;44.46000000
1198304;5;21/06/2022;48692.87;43.56000000
1195104;5;21/06/2022;48693.11;45.33000000
1199112;5;21/06/2022;48693.33;44.97000000
1196314;5;21/06/2022;48693.57;47.67000000
1199514;5;21/06/2022;48693.80;45.39000000
1193913;5;21/06/2022;48694.02;47.46000000
1195914;5;21/06/2022;48694.26;47.34000000
1194714;5;21/06/2022;48694.49;50.70000000
1197114;5;21/06/2022;48694.72;40.53000000
1196716;5;21/06/2022;48694.96;45.00000000
1199915;5;21/06/2022;48695.19;52.02000000
1195517;5;21/06/2022;48695.42;43.86000000
1198717;5;21/06/2022;48695.66;48.87000000
1197517;5;21/06/2022;48695.90;48.21000000
1194319;5;21/06/2022;48696.15;47.34000000
1197920;5;21/06/2022;48696.41;56.52000000
