objectid;id_medidor;fecha;energia_kw;potencia_k
50969;4;12/07/2019;181317.00;40.54
50979;4;12/07/2019;181319.00;41.66
50989;4;12/07/2019;181321.00;40.48
50999;4;12/07/2019;181323.00;40.64
51009;4;12/07/2019;181325.00;41.34
51019;4;12/07/2019;181327.00;43.88
51029;4;12/07/2019;181329.00;41.58
51039;4;12/07/2019;181331.00;42.50
51049;4;12/07/2019;181334.00;42.00
51059;4;12/07/2019;181336.00;44.02
51069;4;12/07/2019;181338.00;41.84
51079;4;12/07/2019;181340.00;41.48
51089;4;12/07/2019;181342.00;41.52
51099;4;12/07/2019;181344.00;40.32
51108;4;12/07/2019;181346.00;40.66
51118;4;12/07/2019;181348.00;41.20
51128;4;12/07/2019;181350.00;40.50
51138;4;12/07/2019;181352.00;40.40
51148;4;12/07/2019;181355.00;41.04
51158;4;12/07/2019;181357.00;41.00
51168;4;12/07/2019;181359.00;41.58
51178;4;12/07/2019;181361.00;41.04
51187;4;12/07/2019;181363.00;39.62
51197;4;12/07/2019;181365.00;40.46
51207;4;12/07/2019;181368.00;74.00
51217;4;12/07/2019;181372.00;59.88
51227;4;12/07/2019;181375.00;60.82
51237;4;12/07/2019;181378.00;61.88
51247;4;12/07/2019;181381.00;69.12
51257;4;12/07/2019;181385.00;77.60
51267;4;12/07/2019;181388.00;76.12
51277;4;12/07/2019;181392.00;75.34
51287;4;12/07/2019;181395.00;70.00
51297;4;12/07/2019;181399.00;64.04
51307;4;12/07/2019;181402.00;67.22
51317;4;12/07/2019;181405.00;55.14
51327;4;12/07/2019;181408.00;72.72
51337;4;12/07/2019;181412.00;86.40
51347;4;12/07/2019;181416.00;83.32
51357;4;12/07/2019;181421.00;83.74
51367;4;12/07/2019;181425.00;94.20
51376;4;12/07/2019;181430.00;88.92
51385;4;12/07/2019;181434.00;86.92
51394;4;12/07/2019;181439.00;88.56
51404;4;12/07/2019;181443.00;87.74
51414;4;12/07/2019;181448.00;86.08
51424;4;12/07/2019;181452.00;86.82
51434;4;12/07/2019;181457.00;94.44
51444;4;12/07/2019;181462.00;93.10
51454;4;12/07/2019;181466.00;93.30
51464;4;12/07/2019;181471.00;99.96
51474;4;12/07/2019;181477.00;101.28
51484;4;12/07/2019;181482.00;95.76
51494;4;12/07/2019;181487.00;92.30
51504;4;12/07/2019;181491.00;91.56
51514;4;12/07/2019;181496.00;83.92
51524;4;12/07/2019;181500.00;82.04
51534;4;12/07/2019;181504.00;91.02
51544;4;12/07/2019;181509.00;83.18
51554;4;12/07/2019;181513.00;82.04
51564;4;12/07/2019;181517.00;85.28
51574;4;12/07/2019;181522.00;87.28
51584;4;12/07/2019;181526.00;85.22
51594;4;12/07/2019;181530.00;121.90
51604;4;12/07/2019;181534.00;74.06
51614;4;12/07/2019;181538.00;87.12
51623;4;12/07/2019;181541.00;67.22
51633;4;12/07/2019;181544.00;61.08
51643;4;12/07/2019;181547.00;58.14
51653;4;12/07/2019;181550.00;55.82
51663;4;12/07/2019;181553.00;59.66
51673;4;12/07/2019;181556.00;76.88
51683;4;12/07/2019;181560.00;70.12
51693;4;12/07/2019;181563.00;67.90
51703;4;12/07/2019;181567.00;72.90
51713;4;12/07/2019;181570.00;67.68
51723;4;12/07/2019;181574.00;65.86
51733;4;12/07/2019;181577.00;64.34
51743;4;12/07/2019;181580.00;63.44
51753;4;12/07/2019;181584.00;66.84
51763;4;12/07/2019;181587.00;41.02
51773;4;12/07/2019;181589.00;40.74
51783;4;12/07/2019;181591.00;42.80
51793;4;12/07/2019;181593.00;40.14
51803;4;12/07/2019;181595.00;39.74
51812;4;12/07/2019;181597.00;41.28
51822;4;12/07/2019;181599.00;40.40
51832;4;12/07/2019;181601.00;42.72
51842;4;12/07/2019;181603.00;40.12
51852;4;12/07/2019;181605.00;40.72
51862;4;12/07/2019;181607.00;39.58
51872;4;12/07/2019;181609.00;40.24
51882;4;12/07/2019;181611.00;41.84
51892;4;12/07/2019;181613.00;40.52
51902;4;12/07/2019;181615.00;42.48
51912;4;12/07/2019;181617.00;41.68
51922;4;13/07/2019;181619.00;40.54
51932;4;13/07/2019;181621.00;41.06
51942;4;13/07/2019;181623.00;40.34
51952;4;13/07/2019;181625.00;43.00
51962;4;13/07/2019;181628.00;41.64
51972;4;13/07/2019;181630.00;42.82
51982;4;13/07/2019;181632.00;41.48
51992;4;13/07/2019;181634.00;40.78
52002;4;13/07/2019;181636.00;39.70
52012;4;13/07/2019;181638.00;39.92
52022;4;13/07/2019;181640.00;42.06
52032;4;13/07/2019;181642.00;40.16
52042;4;13/07/2019;181644.00;41.74
52051;4;13/07/2019;181646.00;39.64
52061;4;13/07/2019;181648.00;41.92
52071;4;13/07/2019;181650.00;40.52
52081;4;13/07/2019;181652.00;40.40
52091;4;13/07/2019;181654.00;39.82
52101;4;13/07/2019;181656.00;40.84
